frame,frame_latency_ms,visible_gaussians,gaussian_instances,max_tile_load,average_tile_load
0,91.323,598667,26893344,9291,3622.49
1,65.059,598667,26893344,9291,3622.49
2,64.521,598667,26893344,9291,3622.49
3,63.05,598667,26893344,9291,3622.49
4,62.546,598667,26893344,9291,3622.49
5,61.18,598667,26893344,9291,3622.49
6,63.078,598667,26893344,9291,3622.49
7,60.527,598667,26893344,9291,3622.49
8,62.078,598667,26893344,9291,3622.49
9,60.678,598667,26893344,9291,3622.49
10,61.713,598667,26893344,9291,3622.49
11,59.929,598667,26893344,9291,3622.49
12,60.988,598667,26893344,9291,3622.49
13,60.981,598667,26893344,9291,3622.49
14,62.048,598667,26893344,9291,3622.49
15,59.924,598667,26893344,9291,3622.49
16,62.342,598667,26893344,9291,3622.49
17,62.244,598667,26893344,9291,3622.49
18,61.722,598667,26893344,9291,3622.49
19,63.15,598667,26893344,9291,3622.49
20,62.4,598667,26893344,9291,3622.49
21,61.868,598667,26893344,9291,3622.49
22,61.123,598667,26893344,9291,3622.49
23,61.663,598667,26893344,9291,3622.49
24,60.8,598667,26893344,9291,3622.49
25,61.672,598667,26893344,9291,3622.49
26,60.859,598667,26893344,9291,3622.49
27,61.378,598667,26893344,9291,3622.49
28,60.424,598667,26893344,9291,3622.49
29,62.581,598667,26893344,9291,3622.49
30,62.057,598667,26893344,9291,3622.49
31,61.684,598667,26893344,9291,3622.49
32,62.942,598667,26893344,9291,3622.49
33,61.568,598667,26893344,9291,3622.49
34,61.416,598667,26893344,9291,3622.49
35,61.486,598667,26893344,9291,3622.49
36,59.886,598667,26893344,9291,3622.49
37,60.948,598667,26893344,9291,3622.49
38,61.375,598667,26893344,9291,3622.49
39,61.305,598667,26893344,9291,3622.49
40,61.615,598667,26893344,9291,3622.49
41,61.955,598667,26893344,9291,3622.49
42,62.015,598667,26893344,9291,3622.49
43,62.392,598667,26893344,9291,3622.49
44,60.465,598667,26893344,9291,3622.49
45,62.542,598667,26893344,9291,3622.49
46,65.231,598667,26893344,9291,3622.49
47,63.447,598667,26893344,9291,3622.49
48,63.09,598667,26893344,9291,3622.49
49,63.905,598667,26893344,9291,3622.49
50,70.465,598667,26893344,9291,3622.49
51,68.827,598667,26893344,9291,3622.49
52,68.98,598667,26893344,9291,3622.49
53,68.948,598667,26893344,9291,3622.49
54,69.559,598667,26893344,9291,3622.49
55,61.905,598667,26893344,9291,3622.49
56,61.873,598667,26893344,9291,3622.49
57,61.423,598667,26893344,9291,3622.49
58,60.488,598667,26893344,9291,3622.49
59,61.074,598667,26893344,9291,3622.49
60,61.392,598667,26893344,9291,3622.49
61,62.201,598667,26893344,9291,3622.49
62,60.342,598667,26893344,9291,3622.49
63,59.828,598667,26893344,9291,3622.49
64,63.046,598667,26893344,9291,3622.49
65,65.736,598667,26893344,9291,3622.49
66,62.713,598667,26893344,9291,3622.49
67,63.208,598667,26893344,9291,3622.49
68,62.748,598667,26893344,9291,3622.49
69,64.435,598667,26893344,9291,3622.49
70,60.877,598667,26893344,9291,3622.49
71,60.828,598667,26893344,9291,3622.49
72,62.493,598667,26893344,9291,3622.49
73,61.059,598667,26893344,9291,3622.49
74,61.317,598667,26893344,9291,3622.49
75,60.06,598667,26893344,9291,3622.49
76,59.93,598667,26893344,9291,3622.49
77,61.963,598667,26893344,9291,3622.49
78,60.969,598667,26893344,9291,3622.49
79,59.779,598667,26893344,9291,3622.49
80,59.563,598667,26893344,9291,3622.49
81,60.218,598667,26893344,9291,3622.49
82,60.816,598667,26893344,9291,3622.49
83,60.22,598667,26893344,9291,3622.49
84,61.307,598667,26893344,9291,3622.49
85,59.665,598667,26893344,9291,3622.49
86,60.499,598667,26893344,9291,3622.49
87,61.243,598667,26893344,9291,3622.49
88,60.314,598667,26893344,9291,3622.49
89,61.014,598667,26893344,9291,3622.49
90,61.262,598667,26893344,9291,3622.49
91,59.492,598667,26893344,9291,3622.49
92,61.335,598667,26893344,9291,3622.49
93,60.461,598667,26893344,9291,3622.49
94,60.094,598667,26893344,9291,3622.49
95,60.908,598667,26893344,9291,3622.49
96,60.368,598667,26893344,9291,3622.49
97,62.092,598667,26893344,9291,3622.49
98,60.929,598667,26893344,9291,3622.49
99,60.636,598667,26893344,9291,3622.49
100,62.016,598667,26893344,9291,3622.49
101,62.819,598667,26893344,9291,3622.49
102,60.135,598667,26893344,9291,3622.49
103,59.458,598667,26893344,9291,3622.49
104,60.147,598667,26893344,9291,3622.49
105,59.781,598667,26893344,9291,3622.49
106,61.299,598667,26893344,9291,3622.49
107,59.909,598667,26893344,9291,3622.49
108,59.634,598667,26893344,9291,3622.49
109,60.322,598667,26893344,9291,3622.49
110,60.127,598667,26893344,9291,3622.49
111,61.049,598667,26893344,9291,3622.49
112,60.157,598667,26893344,9291,3622.49
113,59.26,598667,26893344,9291,3622.49
114,60.912,598667,26893344,9291,3622.49
115,60.1,598667,26893344,9291,3622.49
116,60.903,598667,26893344,9291,3622.49
117,61.599,598667,26893344,9291,3622.49
118,63.003,598667,26893344,9291,3622.49
119,60.703,598667,26893344,9291,3622.49
120,62.226,598667,26893344,9291,3622.49
121,62.001,598667,26893344,9291,3622.49
122,61.067,598667,26893344,9291,3622.49
123,61.844,598667,26893344,9291,3622.49
124,62.656,598667,26893344,9291,3622.49
125,60.828,598667,26893344,9291,3622.49
126,61.68,598667,26893344,9291,3622.49
127,61.085,598667,26893344,9291,3622.49
128,61.823,598667,26893344,9291,3622.49
129,60.944,598667,26893344,9291,3622.49
130,59.907,598667,26893344,9291,3622.49
131,60.617,598667,26893344,9291,3622.49
132,61.943,598667,26893344,9291,3622.49
133,61.716,598667,26893344,9291,3622.49
134,62.05,598667,26893344,9291,3622.49
135,60.697,598667,26893344,9291,3622.49
136,63.703,598667,26893344,9291,3622.49
137,60.535,598667,26893344,9291,3622.49
138,60.322,598667,26893344,9291,3622.49
139,61.107,598667,26893344,9291,3622.49
140,60.238,598667,26893344,9291,3622.49
141,61.159,598667,26893344,9291,3622.49
142,59.834,598667,26893344,9291,3622.49
143,61.511,598667,26893344,9291,3622.49
144,60.572,598667,26893344,9291,3622.49
145,62.094,598667,26893344,9291,3622.49
146,60.464,598667,26893344,9291,3622.49
147,60.908,598667,26893344,9291,3622.49
148,61.593,598667,26893344,9291,3622.49
149,61.028,598667,26893344,9291,3622.49
150,61.881,598667,26893344,9291,3622.49
151,60.541,598667,26893344,9291,3622.49
152,61.601,598667,26893344,9291,3622.49
153,61.312,598667,26893344,9291,3622.49
154,61.585,598667,26893344,9291,3622.49
155,62.145,598667,26893344,9291,3622.49
156,60.203,598667,26893344,9291,3622.49
157,62.141,598667,26893344,9291,3622.49
158,60.269,598667,26893344,9291,3622.49
159,61.504,598667,26893344,9291,3622.49
160,60.991,598667,26893344,9291,3622.49
161,61.059,598667,26893344,9291,3622.49
162,60.756,598667,26893344,9291,3622.49
163,62.166,598667,26893344,9291,3622.49
